f,S_ML
1,277092700.1
1.066667,120913166.4
1.133333,52862714.18
1.2,39158839.3
1.266667,27769396.53
1.333333,5857951.647
1.4,8748750.69
1.466667,200364144.8
1.533333,54882922.94
1.6,5205132.483
1.666667,23785270.83
1.733333,169824668.2
1.8,93323776.6
1.866667,24937686.44
1.933333,39970028.83
2,9882189.889
2.066667,45018340.92
2.133333,150250401.8
2.2,15445395.66
2.266667,52430285.83
2.333333,22168005.05
2.4,175767577.9
2.466667,209875941.8
2.533333,18842056.91
2.6,21814851.94
2.666667,14605073.33
2.733333,24403527.19
2.8,50741986.89
2.866667,5044715.087
2.933333,14964332.65
3,12605072.84
3.066667,18609843
3.133333,17013484.93
3.2,7773542.824
3.266667,1074248.921
3.333333,4648458.449
3.4,5790103.079
3.466667,18251551.17
3.533333,10616206.84
3.6,3501525.743
3.666667,2631770.984
3.733333,3444246.902
3.8,2610866.226
3.866667,3979771.695
3.933333,1815838.225
4,616563.383
4.066667,5464565.024
4.133333,8354936.915
4.2,1900675.544
4.266667,190249.277
4.333333,311808.6246
4.4,2705937.865
4.466667,1290250.813
4.533333,1076677.829
4.6,635120.8278
4.666667,1574568.851
4.733333,929411.4464
4.8,438983.5884
4.866667,373380.7521
4.933333,1376391.609
5,1342278.386
5.066667,2490329.584
5.133333,1003356.524
5.2,67408.39377
5.266667,24411.42695
5.333333,275575.037
5.4,1809189.78
5.466667,4291071.218
5.533333,2819429.541
5.6,781477.8703
5.666667,44528.21776
5.733333,490177.6705
5.8,748929.897
5.866667,439372.6453
5.933333,576005.1359
6,779244.0033
6.066667,594970.2659
6.133333,387833.2398
6.2,964369.5025
6.266667,940254.2868
6.333333,1181769.99
6.4,727660.9299
6.466667,143526.8936
6.533333,632404.5168
6.6,899406.0875
6.666667,1551008.918
6.733333,1033188.073
6.8,1090170.723
6.866667,1851967.788
6.933333,1573423.831
7,487923.1745
7.066667,176981.2633
7.133333,1499041.488
7.2,504298.5583
7.266667,50008.90721
7.333333,404562.84
7.4,720775.2602
7.466667,2076933.706
7.533333,1185017.847
7.6,887854.5465
7.666667,273637.1859
7.733333,813635.7056
7.8,1448949.251
7.866667,1549404.577
7.933333,454265.6933
8,557628.4609
8.066667,1220354.2
8.133333,1193217.121
8.2,1258885.477
8.266667,227289.7291
8.333333,305927.4608
8.4,825885.0598
8.466667,2391777.354
8.533333,1056932.759
8.6,370495.1759
8.666667,545254.5546
8.733333,999234.9924
8.8,493994.2456
8.866667,523829.0428
8.933333,369506.1168
9,290198.191
9.066667,257118.0732
9.133333,553509.9395
9.2,300732.2962
9.266667,648158.3277
9.333333,2266688.02
9.4,913825.9276
9.466667,383130.6151
9.533333,878948.1549
9.6,458828.1945
9.666667,42570.56312
9.733333,297486.6831
9.8,248080.938
9.866667,727928.6337
9.933333,305262.5541
10,748204.5291
10,612643.3551
10.2,787435.5016
10.4,1330929.709
10.6,502329.6456
10.8,779427.6822
11,4422563.453
11.2,6595495.7
11.4,3375427.466
11.6,3294389.296
11.8,1404915.229
12,866860.4392
12.2,866500.6933
12.4,437842.4553
12.6,952400.2852
12.8,1272663.561
13,1114791.084
13.2,1278412.381
13.4,1727768.886
13.6,2408372.194
13.8,1193529.455
14,107008.5301
14.2,200489.1063
14.4,31990.02677
14.6,204546.6514
14.8,132708.2227
15,207791.3145
15.2,186078.48
15.4,409375.4561
15.6,154682.2384
15.8,287967.5079
16,183120.4201
16.2,250386.6354
16.4,517281.6978
16.6,218099.2919
16.8,181775.4626
17,209272.3424
17.2,152669.9087
17.4,294906.9279
17.6,1463078.176
17.8,7381041.411
18,2682307.753
18.2,177727.4941
18.4,251151.7395
18.6,235968.1161
18.8,159208.518
19,478475.4779
19.2,499425.4978
19.4,207439.1204
19.6,107245.4768
19.8,102889.2864
20,196472.5013
20.2,166881.0525
20.4,73671.39546
20.6,104368.2934
20.8,137714.0292
21,134010.0475
21.2,252054.2407
21.4,298616.2616
21.6,417711.9433
21.8,848223.6761
22,203872.903
22.2,199625.5942
22.4,308042.4284
22.6,620608.3826
22.8,340942.5359
23,212710.3269
23.2,82970.395
23.4,172417.8364
23.6,101441.5009
23.8,53874.42726
24,284354.6922
24.2,340127.8352
24.4,257082.2562
24.6,124762.6503
24.8,184190.4665
25,112244.2285
25.2,108830.0295
25.4,137365.3983
25.6,133306.3914
25.8,91416.59343
26,122241.3788
26.2,1508638.303
26.4,835484.6567
26.6,216006.1018
26.8,421867.3996
27,181117.658
27.2,115800.5536
27.4,280232.3555
27.6,306342.2701
27.8,138504.2104
28,63382.03719
28.2,77818.80323
28.4,49990.83176
28.6,159151.5981
28.8,112581.5331
29,78318.4365
29.2,59204.91
29.4,78226.34842
29.6,433862.5528
29.8,343548.323
30,23859.63827
30.2,125003.5811
30.4,422434.1173
30.6,385470.8002
30.8,481672.2344
31,335061.0906
31.2,179965.9394
