f (Hz),Current mod (MHz/V),Phase (rad)
1,4.995136622,7.40E-06
1.20450354,4.995136622,8.91E-06
1.450828778,4.995136622,1.07E-05
1.7475284,4.995136621,1.29E-05
2.104904145,4.995136621,1.56E-05
2.535364494,4.995136621,1.88E-05
3.053855509,4.995136621,2.26E-05
3.678379772,4.995136621,2.72E-05
4.430621458,4.99513662,3.28E-05
5.336699231,4.995136619,3.95E-05
6.428073117,4.995136618,4.75E-05
7.742636827,4.995136617,5.73E-05
9.326033469,4.995136614,6.90E-05
11.23324033,4.995136611,8.31E-05
13.53047775,4.995136606,0.000100074
16.29750835,4.995136599,0.000120539
19.6304065,4.995136589,0.00014519
23.64489413,4.995136574,0.000174881
28.48035868,4.995136552,0.000210645
34.30469286,4.99513652,0.000253723
41.320124,4.995136475,0.00030561
49.77023564,4.995136409,0.000368109
59.94842503,4.995136313,0.000443388
72.20809018,4.995136173,0.000534062
86.97490026,4.995135971,0.00064328
104.7615753,4.995135678,0.000774833
126.1856883,4.995135252,0.000933289
151.9911083,4.995134635,0.00112415
183.073828,4.995133739,0.001354043
220.513074,4.995132439,0.001630949
265.6087783,4.995130553,0.001964483
319.9267138,4.995127817,0.002366226
385.3528594,4.995123848,0.002850127
464.1588834,4.99511809,0.003432986
559.0810183,4.995109735,0.00413504
673.4150658,4.995097614,0.004980663
811.1308308,4.995080028,0.005999215
977.0099573,4.995054515,0.007226055
1176.811952,4.9950175,0.008703773
1417.474163,4.994963799,0.010483662
1707.352647,4.994885892,0.012627498
2056.512308,4.994772869,0.015209675
2477.076356,4.994608907,0.018319773
2983.64724,4.994371055,0.022065646
3593.813664,4.994026037,0.026577127
4328.761281,4.993525608,0.032010457
5214.008288,4.992799852,0.03855359
6280.291442,4.991747495,0.046432486
7564.633276,4.990221949,0.055918577
9111.627561,4.988011254,0.067337509
10974.98765,4.984809397,0.081079272
13219.41148,4.980175555,0.097609698
15922.82793,4.973476732,0.117483103
19179.10262,4.963808223,0.141355447
23101.297,4.949885709,0.169996716
27825.59402,4.929903858,0.204300048
33516.02651,4.901361137,0.24528338
40370.17259,4.860863311,0.294076796
48626.0158,4.803944717,0.351885722
58570.20818,4.724993116,0.41991756
70548.02311,4.617429572,0.499260396
84975.34359,4.474353335,0.590712195
102353.1022,4.289839983,0.694583967
123284.6739,4.060866035,0.810540789
148496.8262,3.789377943,0.937582777
178864.9529,3.483547081,1.074264501
215443.469,3.157268852,1.219175195
259502.4211,2.827792107,1.371585347
312571.585,2.512508971,1.53210819
376493.5807,2.226410111,1.703306324
453487.8508,1.981183761,1.890382479
546227.7218,1.786038727,2.102409599
657933.2247,1.649626513,2.355152073
792482.8984,1.580669181,2.677956631
954548.4567,1.572354843,3.128698691
1149756.995,1.505386292,-2.489629224
1384886.371,1.130735784,-1.676571768
1668100.537,0.686449865,-1.001394058
2009233.003,0.418344665,-0.511020022
2420128.265,0.274623016,-0.134484965
2915053.063,0.193426796,0.168101059
3511191.734,0.143650546,0.415060111
4229242.874,0.1106866,0.617342785
5094138.015,0.087423785,0.783243658
6135907.273,0.070193592,0.919518919
7390722.034,0.056976885,1.031675702
8902150.854,0.04658612,1.124162242
10722672.22,0.038276599,1.20055833
12915496.65,0.031553065,1.263749905
15556761.44,0.026068847,1.316074033
18738174.23,0.021570735,1.359433165
22570197.2,0.017867405,1.395383387
27185882.43,0.014810471,1.425202519
32745491.63,0.012282583,1.449943099
39442060.59,0.010189603,1.47047408
47508101.62,0.008455237,1.487514044
57223676.59,0.007017199,1.501657928
68926121.04,0.00582438,1.513398713
83021756.81,0.004834689,1.523145137
100000000,0.004013378,1.531236225
