f (Hz),PNA floor (dBc/Hz),VCO free (dBc/Hz),VCO locked (dBc/Hz)
10,-112.318254,-21.5458086,-102.3520754
1.02E+01,-1.12E+02,-20.42764867,-102.1187745
1.03E+01,-1.13E+02,-19.85971057,-101.5653273
1.05E+01,-1.13E+02,-20.24713388,-102.5719664
1.07E+01,-1.14E+02,-19.89509789,-102.7942479
1.09E+01,-1.14E+02,-19.4313231,-103.1101511
1.10E+01,-1.14E+02,-20.3643533,-102.4092441
1.12E+01,-1.14E+02,-19.378045,-103.4520432
1.14E+01,-1.14E+02,-20.2236022,-103.5200478
1.16E+01,-1.15E+02,-19.6767199,-103.4184378
1.18E+01,-1.14E+02,-20.1352948,-102.7432222
1.20E+01,-1.14E+02,-21.0853871,-103.4852732
1.22E+01,-1.14E+02,-21.5100344,-104.3995338
1.24E+01,-1.15E+02,-21.3709778,-103.6673568
1.26E+01,-1.14E+02,-21.8232847,-103.3897968
1.28E+01,-1.13E+02,-22.6734498,-102.9693638
1.30E+01,-1.12E+02,-22.8623109,-102.5064187
1.32E+01,-1.12E+02,-23.1036403,-101.5647434
1.34E+01,-1.12E+02,-22.9404258,-101.76371
1.36E+01,-1.12E+02,-23.2679782,-101.853104
1.39E+01,-1.12E+02,-23.2537732,-102.2438476
1.41E+01,-1.12E+02,-23.408727,-101.2176269
1.43E+01,-1.11E+02,-23.3050328,-100.0460764
1.46E+01,-1.11E+02,-23.7856614,-99.8811754
1.48E+01,-1.11E+02,-24.3959647,-99.8388034
1.50E+01,-1.11E+02,-24.3404948,-99.7239014
1.53E+01,-1.12E+02,-24.1159083,-99.5784294
1.55E+01,-1.12E+02,-24.5995341,-100.0018017
1.58E+01,-1.13E+02,-24.1333663,-100.4318157
1.61E+01,-1.12E+02,-24.5886098,-100.7744467
1.63E+01,-1.12E+02,-24.3377992,-101.1668077
1.66E+01,-1.12E+02,-24.3630155,-101.4277154
1.69E+01,-1.12E+02,-24.9133419,-101.6196908
1.71E+01,-1.12E+02,-24.2095188,-101.6195328
1.74E+01,-1.12E+02,-24.1616165,-101.8291188
1.77E+01,-1.11E+02,-23.9871053,-102.0730108
1.80E+01,-1.11E+02,-24.5595031,-102.3762014
1.83E+01,-1.11E+02,-24.2663282,-102.3966374
1.86E+01,-1.11E+02,-24.273995,-102.7547834
1.89E+01,-1.11E+02,-24.0780003,-102.6792964
1.92E+01,-1.12E+02,-25.203998,-102.0061754
1.95E+01,-1.12E+02,-25.8594317,-101.7078135
1.99E+01,-1.13E+02,-26.3684803,-102.2811366
2.02E+01,-1.13E+02,-27.3259153,-102.3508726
2.05E+01,-1.13E+02,-27.9551628,-101.8500265
2.09E+01,-1.13E+02,-28.8076216,-102.1551575
2.12E+01,-1.14E+02,-28.7522521,-102.292725
2.15E+01,-1.14E+02,-29.0017119,-102.911617
2.19E+01,-1.13E+02,-29.7097056,-102.052572
2.23E+01,-1.13E+02,-29.7873597,-102.170586
2.26E+01,-1.12E+02,-29.3249692,-102.112704
2.30E+01,-1.12E+02,-29.1596816,-103.4192129
2.34E+01,-1.12E+02,-29.2448432,-102.9821615
2.38E+01,-1.11E+02,-29.6859975,-102.9571875
2.42E+01,-1.12E+02,-29.2294131,-103.1673876
2.46E+01,-1.12E+02,-29.4391728,-102.8303066
2.50E+01,-1.12E+02,-29.7134306,-102.9284606
2.54E+01,-1.11E+02,-30.2983383,-102.5479026
2.58E+01,-1.12E+02,-30.1768884,-103.8951136
2.62E+01,-1.11E+02,-30.8981074,-103.6245606
2.66E+01,-1.11E+02,-31.6960036,-103.8777276
2.71E+01,-1.11E+02,-32.1016987,-103.1133256
2.75E+01,-1.10E+02,-31.8965214,-103.466919
2.80E+01,-1.10E+02,-31.7606921,-103.530799
2.84E+01,-1.10E+02,-32.1332341,-103.49692
2.89E+01,-1.10E+02,-32.642439,-103.661777
2.94E+01,-1.10E+02,-33.776098,-103.662202
2.99E+01,-1.11E+02,-33.9362249,-103.69291
3.01E+01,-1.10E+02,-33.7884926,-102.834604
3.04E+01,-1.10E+02,-33.8458298,-102.5982678
3.08E+01,-1.09E+02,-33.7141205,-102.6910798
3.11E+01,-1.10E+02,-34.8641121,-102.3920718
3.15E+01,-1.10E+02,-35.3196759,-102.9674598
3.18E+01,-1.11E+02,-35.8175105,-103.5461118
3.21E+01,-1.11E+02,-35.9907943,-103.5035912
3.25E+01,-1.11E+02,-35.7206927,-103.7971002
3.29E+01,-1.12E+02,-35.3254683,-104.4114752
3.32E+01,-1.13E+02,-35.0722617,-104.9165872
3.36E+01,-1.13E+02,-35.6592034,-104.4287702
3.39E+01,-1.13E+02,-35.4541049,-104.5501484
3.43E+01,-1.14E+02,-35.5100196,-103.9946962
3.47E+01,-1.14E+02,-34.525677,-104.1346022
3.51E+01,-1.14E+02,-35.0944003,-104.3316352
3.55E+01,-1.14E+02,-35.4042479,-104.0055482
3.59E+01,-1.13E+02,-36.0298861,-104.3861778
3.62E+01,-1.14E+02,-35.5057128,-104.4299098
3.66E+01,-1.12E+02,-35.1836154,-103.7851558
3.70E+01,-1.11E+02,-35.470008,-103.3333708
3.75E+01,-1.12E+02,-35.3425803,-103.8464348
3.79E+01,-1.12E+02,-35.4243023,-104.9038368
3.83E+01,-1.11E+02,-35.3496597,-106.473247
3.87E+01,-1.11E+02,-35.2183514,-107.285174
3.91E+01,-1.13E+02,-35.1417816,-106.318308
3.96E+01,-1.12E+02,-34.7709785,-106.439595
4.00E+01,-1.13E+02,-34.134637,-106.127828
4.04E+01,-1.13E+02,-34.2254252,-105.539116
4.09E+01,-1.13E+02,-33.7226762,-105.406009
4.13E+01,-1.13E+02,-34.3722035,-105.186517
4.18E+01,-1.12E+02,-34.7356656,-105.037819
4.22E+01,-1.12E+02,-34.8553796,-104.28883
4.27E+01,-1.13E+02,-34.7791982,-103.486206
4.32E+01,-1.13E+02,-35.2666791,-102.968602
4.36E+01,-1.12E+02,-35.6330762,-103.313569
4.41E+01,-1.12E+02,-35.7382863,-103.802165
4.46E+01,-1.12E+02,-35.9004953,-104.255568
4.51E+01,-1.13E+02,-36.4398497,-104.249711
4.56E+01,-1.13E+02,-37.312167,-104.492077
4.61E+01,-1.13E+02,-36.6847157,-105.143423
4.66E+01,-1.13E+02,-36.8050266,-104.911938
4.71E+01,-1.13E+02,-38.221833,-105.079004
4.76E+01,-1.12E+02,-39.5568393,-104.86476
4.81E+01,-1.12E+02,-39.8349117,-105.138019
4.87E+01,-1.11E+02,-39.0765098,-104.796086
4.92E+01,-1.11E+02,-38.8620392,-104.101603
4.97E+01,-1.10E+02,-39.2644031,-103.961963
5.03E+01,-1.10E+02,-39.8476783,-104.14255
5.08E+01,-1.10E+02,-39.5703422,-104.467768
5.14E+01,-1.11E+02,-40.0063377,-104.830908
5.20E+01,-1.12E+02,-40.2497639,-105.051034
5.25E+01,-1.12E+02,-39.4182454,-105.294479
5.31E+01,-1.11E+02,-38.7158277,-105.70307
5.37E+01,-1.11E+02,-38.5078046,-105.495497
5.43E+01,-1.11E+02,-38.8122835,-106.067888
5.49E+01,-1.11E+02,-38.9332189,-106.527479
5.55E+01,-1.11E+02,-39.1404871,-106.717397
5.61E+01,-1.12E+02,-39.056772,-106.747864
5.67E+01,-1.11E+02,-40.5151284,-106.511835
5.73E+01,-1.11E+02,-39.3543463,-103.8351241
5.79E+01,-1.11E+02,-39.4597536,-103.2750873
5.86E+01,-1.11E+02,-40.0738561,-103.0587053
5.92E+01,-1.12E+02,-40.7119748,-102.8836953
5.99E+01,-1.12E+02,-40.5136452,-102.9157153
6.05E+01,-1.12E+02,-40.7655598,-102.8322083
6.12E+01,-1.13E+02,-40.9693375,-102.5683203
6.19E+01,-1.13E+02,-41.3514336,-102.3766823
6.25E+01,-1.12E+02,-41.3577988,-102.0521703
6.32E+01,-1.12E+02,-40.2494401,-101.8545903
6.39E+01,-1.13E+02,-41.4747981,-104.0197772
6.46E+01,-1.13E+02,-42.2702025,-104.754003
6.53E+01,-1.13E+02,-42.3287612,-104.51295
6.61E+01,-1.13E+02,-41.6602126,-104.069607
6.68E+01,-1.12E+02,-42.2552921,-103.5194861
6.75E+01,-1.12E+02,-42.3524928,-103.6914581
6.83E+01,-1.11E+02,-43.3057464,-103.6110451
6.90E+01,-1.12E+02,-42.5820937,-103.7507561
6.98E+01,-1.13E+02,-42.3413364,-104.5224751
7.05E+01,-1.13E+02,-42.5921771,-104.4607281
7.13E+01,-1.12E+02,-43.0470478,-103.9610871
7.21E+01,-1.11E+02,-42.6521462,-103.3211118
7.29E+01,-1.11E+02,-42.4961293,-103.5018248
7.37E+01,-1.11E+02,-43.4950215,-104.1288938
7.45E+01,-1.11E+02,-43.7301167,-104.3567137
7.53E+01,-1.10E+02,-44.426167,-104.3837457
7.61E+01,-1.11E+02,-44.2697808,-104.4378237
7.70E+01,-1.10E+02,-45.2401971,-104.3474507
7.78E+01,-1.10E+02,-45.8729054,-104.1876887
