df (MHz),GB (1/m W)
-400,0.012600156
-397.979798,0.012767192
-395.959596,0.012936443
-393.939394,0.013107938
-391.919192,0.013281706
-389.89899,0.013457777
-387.878788,0.013636183
-385.858586,0.013816954
-383.838384,0.014000121
-381.818182,0.014185717
-379.79798,0.014373772
-377.777778,0.014564321
-375.757576,0.014757396
-373.737374,0.01495303
-371.717172,0.015151258
-369.69697,0.015352114
-367.676768,0.015555632
-365.656566,0.015761849
-363.636364,0.015970799
-361.616162,0.016182519
-359.59596,0.016397046
-357.575758,0.016614417
-355.555556,0.016834669
-353.535354,0.017057841
-351.515152,0.017283972
-349.494949,0.0175131
-347.474747,0.017745266
-345.454545,0.01798051
-343.434343,0.018218872
-341.414141,0.018460395
-339.393939,0.018705118
-337.373737,0.018953087
-335.353535,0.019204342
-333.333333,0.019458928
-331.313131,0.01971689
-329.292929,0.01997827
-327.272727,0.020243116
-325.252525,0.020511473
-323.232323,0.020783388
-321.212121,0.021058907
-319.191919,0.021338079
-317.171717,0.021620951
-315.151515,0.021907574
-313.131313,0.022197996
-311.111111,0.022492268
-309.090909,0.022790441
-307.070707,0.023092568
-305.050505,0.023398699
-303.030303,0.023708888
-301.010101,0.02402319
-298.989899,0.024341658
-296.969697,0.024664349
-294.949495,0.024991316
-292.929293,0.025322619
-290.909091,0.025658313
-288.888889,0.025998458
-286.868687,0.026343112
-284.848485,0.026692334
-282.828283,0.027046187
-280.808081,0.02740473
-278.787879,0.027768026
-276.767677,0.028136139
-274.747475,0.028509131
-272.727273,0.028887068
-270.707071,0.029270016
-268.686869,0.029658039
-266.666667,0.030051207
-264.646465,0.030449587
-262.626263,0.030853248
-260.606061,0.031262261
-258.585859,0.031676695
-256.565657,0.032096624
-254.545455,0.032522119
-252.525253,0.032953255
-250.505051,0.033390106
-248.484848,0.033832749
-246.464646,0.03428126
-244.444444,0.034735716
-242.424242,0.035196197
-240.40404,0.035662783
-238.383838,0.036135554
-236.363636,0.036614592
-234.343434,0.037099981
-232.323232,0.037591804
-230.30303,0.038090147
-228.282828,0.038595097
-226.262626,0.039106741
-224.242424,0.039625167
-222.222222,0.040150466
-220.20202,0.040682729
-218.181818,0.041222048
-216.161616,0.041768516
-214.141414,0.042322229
-212.121212,0.042883282
-210.10101,0.043451773
-208.080808,0.0440278
-206.060606,0.044611464
-204.040404,0.045202865
-202.020202,0.045802106
-200,0.046409291
-194.94737,0.048693027
-191.32487,0.049630805
-187.70198,0.050032709
-184.07998,0.051640323
-180.45789,0.053113972
-176.835,0.053515875
-173.2129,0.054989524
-169.5909,0.056597143
-165.96851,0.057668888
-162.34661,0.059410469
-158.72451,0.060884117
-155.10242,0.062357765
-151.48082,0.064501255
-147.85892,0.06624284
-144.23732,0.06838633
-140.61582,0.070663785
-136.99432,0.072941241
-133.37321,0.075754571
-129.75201,0.07843393
-126.13081,0.08111329
-122.5102,0.084596461
-118.88959,0.088079628
-115.26938,0.092098669
-111.64927,0.096251676
-108.02935,0.100672621
-104.41004,0.105897378
-100.79082,0.111256097
-97.17239,0.117686565
-93.55427,0.124518932
-89.71001,0.131786697
-86.44879,0.140040086
-82.73675,0.149481642
-79.22414,0.158778213
-76.07576,0.169826921
-73.16523,0.18083016
-70.65694,0.191368981
-68.24996,0.202823244
-65.88625,0.214449755
-64.03973,0.225530824
-62.5374,0.235417668
-60.73337,0.245626031
-58.52862,0.258352991
-56.78353,0.270486668
-55.49796,0.281854815
-54.7292,0.292166521
-52.92608,0.303600694
-51.62795,0.317432894
-50.52895,0.328337893
-49.22788,0.338197937
-48.7326,0.348915379
-47.38268,0.360771551
-46.23466,0.37343153
-45.73936,0.384122177
-44.54113,0.396942918
-43.34553,0.41332051
-42.14924,0.428760325
-41.55423,0.440710273
-40.22463,0.457340173
-40.65308,0.446979975
-39.06113,0.471764063
-38.5678,0.485103452
-37.22299,0.503849403
-37.97023,0.493600851
-36.0944,0.523341754
-37.07872,0.512892245
-35.58585,0.53555964
-34.47856,0.554690272
-34.78713,0.544240763
-33.20065,0.576393094
-33.79637,0.565407714
-32.00676,0.595081632
-33.2072,0.585234983
-31.5155,0.611224778
-30.22212,0.631453951
-30.61606,0.619798736
-29.03225,0.655568199
-29.32496,0.643109171
-27.83696,0.67234769
-27.34552,0.688256394
-26.05104,0.707011918
-26.9494,0.696964318
-24.77351,0.729231473
-25.45542,0.718131264
-24.265,0.74149529
-22.93826,0.761983465
-23.46596,0.74974772
-21.74627,0.783239727
-22.17416,0.772120382
-20.4583,0.799449858
-19.88952,0.812846664
-18.89608,0.830396473
-19.18968,0.819143161
-17.70086,0.847276445
-16.4186,0.86312295
-15.91011,0.87540973
-14.57804,0.88871722
-13.36505,0.90424635
-12.11709,0.917877598
-11.42102,0.929264881
-10.52261,0.939232101
-9.32374,0.951197358
-8.02324,0.96181911
-6.82266,0.971464807
-5.42198,0.982718124
-3.46693,0.992866201
0,1
3.49839,0.993799193
5.4457,0.985263517
7.26395,0.976287656
8.78058,0.966883101
10.5995,0.956996262
12.41933,0.945876916
14.49837,0.93420256
16.36043,0.924308061
18.22144,0.915829798
20.77938,0.90981272
24.22536,0.904480792
27.85133,0.900729688
31.47908,0.894567158
33.59932,0.885514748
36.17293,0.875811633
37.84255,0.863674134
39.40332,0.852903101
40.57626,0.84164979
41.48944,0.831682565
42.70432,0.822036868
43.8197,0.810837141
45.13645,0.799530239
45.74782,0.789402258
46.35779,0.781163223
47.08942,0.771718478
48.18269,0.763198111
48.6931,0.753498823
50.0087,0.743745955
50.92245,0.733001718
51.6353,0.721748402
53.0522,0.711111341
54.16748,0.700045581
55.38375,0.688524331
56.59942,0.67780689
58.14253,0.666620559
59.43333,0.656372006
61.81344,0.645865084
63.71777,0.637138024
67.30124,0.632525696
70.92344,0.633865378
74.57591,0.639626
77.55493,0.648735827
81.16998,0.659721206
84.79019,0.663740248
88.41656,0.659453269
90.27787,0.650573102
92.61429,0.640812575
94.17551,0.629444433
95.73647,0.618420777
96.90957,0.606937804
97.8224,0.597452869
99.03632,0.589093263
100.15093,0.578938486
101.36709,0.567551204
102.58336,0.55602995
103.90072,0.543896277
