f,S_rock
1,1659253.681
1.066667,1774356.31
1.133333,1006871.777
1.2,852430.4695
1.266667,993041.075
1.333333,556662.1077
1.4,490485.0044
1.466667,255257.8692
1.533333,835626.492
1.6,1334662.301
1.666667,362291.3721
1.733333,329642.6728
1.8,408773.935
1.866667,351316.6997
1.933333,303281.7321
2,169135.198
2.066667,151029.5655
2.133333,129326.5746
2.2,213626.2073
2.266667,268492.6946
2.333333,151774.6388
2.4,108512.08
2.466667,135553.9226
2.533333,150095.9905
2.6,177978.0516
2.666667,85017.38602
2.733333,161280.4612
2.8,164606.4861
2.866667,48713.21618
2.933333,60349.15692
3,103997.8342
3.066667,116049.5735
3.133333,219176.8848
3.2,94216.84327
3.266667,94079.20975
3.333333,226650.1945
3.4,240535.8517
3.466667,84038.10161
3.533333,56825.76147
3.6,130350.1249
3.666667,75773.41875
3.733333,37623.83641
3.8,47016.23592
3.866667,55780.89557
3.933333,89876.53417
4,111786.2052
4.066667,74501.05343
4.133333,62008.28795
4.2,67828.1727
4.266667,51037.47562
4.333333,100989.1081
4.4,143434.6306
4.466667,40478.72344
4.533333,44466.12653
4.6,93270.31686
4.666667,65520.42281
4.733333,41941.12637
4.8,60575.87201
4.866667,89692.11337
4.933333,130570.5205
5,193742.5431
5.066667,180972.1656
5.133333,81914.05646
5.2,81257.53316
5.266667,65083.75252
5.333333,60242.21078
5.4,38835.61414
5.466667,57647.64265
5.533333,54303.29223
5.6,23414.87465
5.666667,28911.53565
5.733333,34206.77438
5.8,51268.95719
5.866667,30688.9027
5.933333,88347.16738
6,106693.0095
6.066667,63724.92011
6.133333,65546.10113
6.2,107457.7059
6.266667,93209.19824
6.333333,53738.16873
6.4,73125.86011
6.466667,57732.52254
6.533333,44684.14542
6.6,66641.05696
6.666667,38783.31821
6.733333,16549.76193
6.8,19842.92315
6.866667,37785.68373
6.933333,36722.60343
7,33758.56051
7.066667,27828.33821
7.133333,53894.60032
7.2,63504.74945
7.266667,38599.39565
7.333333,18188.76054
7.4,21125.58936
7.466667,68291.92323
7.533333,22743.27968
7.6,24524.99824
7.666667,42332.99213
7.733333,43804.36103
7.8,31806.13826
7.866667,40647.39572
7.933333,34279.6012
8,29363.76808
8.066667,37715.87761
8.133333,30367.59456
8.2,31522.85341
8.266667,24613.8527
8.333333,24431.08828
8.4,42122.29554
8.466667,57168.14052
8.533333,62487.54362
8.6,28366.60032
8.666667,49438.6669
8.733333,95000.68416
8.8,68241.41384
8.866667,53999.87509
8.933333,40499.39909
9,18715.76371
9.066667,27386.91759
9.133333,49742.73775
9.2,35745.96408
9.266667,15974.72179
9.333333,17987.88443
9.4,22899.38849
9.466667,25953.64787
9.533333,23404.20094
9.6,32043.07787
9.666667,42002.9576
9.733333,46081.95438
9.8,37433.81891
9.866667,44942.82638
9.933333,56259.35653
10,48199.96356
10,4523.06514
10.2,14219.42869
10.4,4877.901332
10.6,30944.14339
10.8,29118.57852
11,29409.96704
11.2,93392.79999
11.4,75948.82456
11.6,34792.20571
11.8,42219.57166
12,55973.22687
12.2,32080.33013
12.4,36981.45187
12.6,41872.60406
12.8,158131.6631
13,128254.7598
13.2,54978.90782
13.4,38499.36556
13.6,41210.66949
13.8,25898.12952
14,32872.13469
14.2,36907.25569
14.4,39449.46863
14.6,26655.6532
14.8,44300.5027
15,40220.96512
15.2,34811.96542
15.4,88375.4097
15.6,58187.61764
15.8,61274.66241
16,55246.82896
16.2,29182.86088
16.4,47440.94083
16.6,23131.59167
16.8,20620.78825
17,27170.56733
17.2,99818.35973
17.4,211806.8003
17.6,222083.5814
17.8,315831.6372
18,168863.8791
18.2,101216.2207
18.4,92474.27382
18.6,19861.50138
18.8,85075.60417
19,94136.00079
19.2,143020.2433
19.4,214828.1277
19.6,115468.6246
19.8,426453.2941
20,491604.325
20.2,84776.41608
20.4,209292.1684
20.6,333548.1986
20.8,156903.1551
21,158306.3053
21.2,238575.7886
21.4,354293.8911
21.6,543876.9466
21.8,304202.0955
22,56266.85912
22.2,62906.84996
22.4,55010.04124
22.6,47899.31878
22.8,30971.03172
23,24286.26393
23.2,15929.45178
23.4,8763.721979
23.6,27270.2826
23.8,12726.75266
24,22723.26935
24.2,31192.70669
24.4,48179.3843
24.6,24062.49734
24.8,9265.903661
25,11163.23429
25.2,9130.24796
25.4,25751.44412
25.6,28302.14647
25.8,17145.54365
26,18572.48997
26.2,16507.20034
26.4,8914.581597
26.6,10069.27175
26.8,15654.68584
27,16682.11651
27.2,20488.70232
27.4,20662.38497
27.6,9517.246498
27.8,24076.55304
28,29556.38703
28.2,26386.79811
28.4,15411.03828
28.6,11868.9701
28.8,16436.7169
29,9359.420498
29.2,10303.05653
29.4,10977.34549
29.6,12309.34953
29.8,18096.53869
30,10493.0964
30.2,20100.7682
30.4,14574.0705
30.6,15392.29246
30.8,16836.77343
31,14854.97499
31.2,18327.02554
31.4,15313.0245
31.6,4308.970234
31.8,5544.207609
32,16827.29241
32.2,30790.34628
32.4,16640.85681
32.6,4722.473585
32.8,10631.3106
33,7864.094513
33.2,3472.987932
33.4,2323.88901
33.6,7677.041847
33.8,10117.15474
34,7951.564438
34.2,8524.38646
34.4,14677.08141
34.6,12470.04708
34.8,4588.880881
35,6463.293317
35.2,13101.95853
35.4,10364.47609
35.6,12061.44079
35.8,8608.11003
36,6929.48845
36.2,6242.869122
36.4,10747.04178
36.6,11050.29051
36.8,21433.90985
37,18213.73707
37.2,2645.666828
37.4,4438.9855
37.6,4654.450319
37.8,8971.863245
38,11887.59411
38.2,17197.5661
38.4,20250.9521
38.6,15923.76947
38.8,8496.997907
39,4678.498577
39.2,2126.602725
39.4,6004.239663
39.6,11086.88245
39.8,11824.26342
40,8132.740999
40.2,8143.171331
40.4,8700.409378
40.6,10148.46117
40.8,13628.00066
41,8222.391052
